id,longitude,latitude,seg_bits,scale_id,scale,cap_spring,cap_summer,cap_autumn,cap_winter,build_cost_usd,op_cost_usd_for_4seasons,is_active_solve
1077,113.05018539963658,23.443310099781343,000,0,NONE,0,0,0,0,0,0.0,1
1078,113.05017570044822,23.44346490008513,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1079,113.12490959989816,23.4674138003067,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1080,112.99207809962468,23.44733410008871,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1081,113.1249387001609,23.47687090007201,000,0,NONE,0,0,0,0,0,0.0,1
1082,113.37033590018166,23.450856499927568,000,0,NONE,0,0,0,0,0,0.0,1
1083,113.37105099970393,23.45132929960755,000,0,NONE,0,0,0,0,0,0.0,1
1084,113.38056329985648,23.45875459974502,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1085,113.2979981004321,23.45096389966432,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1086,113.2988927999628,23.45201700038433,000,0,NONE,0,0,0,0,0,0.0,0
1087,113.41829989972064,23.450840300439552,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1088,113.4179189999619,23.451197000341324,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1089,113.30393850026168,23.46214160035464,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1090,113.30601830030434,23.465758599879507,000,0,NONE,0,0,0,0,0,0.0,0
1091,113.30122490030897,23.464939400233163,000,0,NONE,0,0,0,0,0,0.0,1
1092,113.32423319960252,23.459426100134465,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1093,113.32852679957216,23.460802499935483,000,0,NONE,0,0,0,0,0,0.0,1
1094,113.30546300041716,23.467061400063585,000,0,NONE,0,0,0,0,0,0.0,0
1095,113.30317729969272,23.485199199583462,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1096,113.28188379979758,23.476721099998827,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1097,113.28711759959764,23.49285339966474,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1098,113.3024956000919,23.488436699594047,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1099,113.30536439964736,23.49048900016726,000,0,NONE,0,0,0,0,0,0.0,1
1100,113.37532769961376,23.476083600278,000,0,NONE,0,0,0,0,0,0.0,1
1101,113.57555879979884,22.76740319959805,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1102,113.57548079979917,22.767522400238647,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1103,113.58341769996696,22.770076400205767,000,0,NONE,0,0,0,0,0,0.0,1
1104,113.58625399982223,22.774575399934804,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1105,113.58613260033928,22.77465370030808,000,0,NONE,0,0,0,0,0,0.0,1
1106,113.39976579955204,22.759688699973594,000,0,NONE,0,0,0,0,0,0.0,1
1107,113.45863189984232,22.7638595002158,000,0,NONE,0,0,0,0,0,0.0,1
1108,113.39077690033378,22.76357339979262,000,0,NONE,0,0,0,0,0,0.0,1
1109,113.50021730038816,22.786393200286,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1110,113.4441438000964,22.787454799599345,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
