id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
3927,-93.2446677115,44.0885230995,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3928,-94.2593347114,44.1000679007,000,0,NONE,0,0,0,0,0,0,0.0,1
3929,-106.63611391,44.1025740648,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3930,-103.232390722,44.1052091108,000,0,NONE,0,0,0,0,0,0,0.0,1
3931,-103.234658744,44.0821510916,000,0,NONE,0,0,0,0,0,0,0.0,0
3932,-102.80450506,44.1035758826,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3933,-70.0740664985,44.1070028599,000,0,NONE,0,0,0,0,0,0,0.0,0
3934,-72.6105477324,44.1105910991,000,0,NONE,0,0,0,0,0,0,0.0,0
3935,-84.7978371345,44.1190966568,000,0,NONE,0,0,0,0,0,0,0.0,0
3936,-94.118711717,44.1443860954,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3937,-72.093289657,44.1553999172,000,0,NONE,0,0,0,0,0,0,0.0,0
3938,-71.6800696948,44.1919442597,000,0,NONE,0,0,0,0,0,0,0.0,0
3939,-96.7584783747,44.1943933025,000,0,NONE,0,0,0,0,0,0,0.0,1
3940,-87.7325294236,44.2032862216,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3941,-73.5091167464,44.2046141039,000,0,NONE,0,0,0,0,0,0,0.0,0
3942,-85.4122017354,44.2052711027,000,0,NONE,0,0,0,0,0,0,0.0,0
3943,-84.1928844909,44.2061536425,000,0,NONE,0,0,0,0,0,0,0.0,0
3944,-94.0270809277,44.2140249146,000,0,NONE,0,0,0,0,0,0,0.0,1
3945,-69.8247237271,44.2170250979,000,0,NONE,0,0,0,0,0,0,0.0,0
3946,-88.4725977366,44.2183300979,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3947,-106.274709262,44.1965570372,000,0,NONE,0,0,0,0,0,0,0.0,1
3948,-105.834098293,44.2134182338,000,0,NONE,0,0,0,0,0,0,0.0,1
3949,-103.385267218,44.2295636491,000,0,NONE,0,0,0,0,0,0,0.0,1
3950,-117.176810727,44.2565531023,000,0,NONE,0,0,0,0,0,0,0.0,1
3951,-90.7830117797,44.2691773886,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3952,-92.6807738363,44.2879705853,000,0,NONE,0,0,0,0,0,0,0.0,1
3953,-105.399568431,44.2948115275,000,0,NONE,0,0,0,0,0,0,0.0,1
3954,-75.9752247388,44.296288092,000,0,NONE,0,0,0,0,0,0,0.0,0
